rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
33,1,42004177,24372.5,24372.5,24372.5,24372.5,2,NQU6
33,1,42004177,24371.75,24371.75,24371.75,24371.75,1,NQU6
33,1,42004177,24370.25,24371.0,24370.25,24371.0,2,NQU6
33,1,42004177,24367.75,24372.0,24367.75,24372.0,3,NQU6
33,1,42004177,24378.25,24378.5,24376.5,24378.5,4,NQU6
33,1,42004177,24386.5,24386.5,24379.25,24379.25,2,NQU6
33,1,42004177,24390.5,24393.75,24390.5,24393.0,3,NQU6
33,1,42004177,24393.25,24393.25,24393.25,24393.25,1,NQU6
33,1,42004177,24393.75,24393.75,24393.75,24393.75,1,NQU6
33,1,42004177,24389.0,24389.0,24389.0,24389.0,1,NQU6
33,1,42004177,24388.5,24388.5,24388.5,24388.5,1,NQU6
33,1,42004177,24393.5,24393.5,24393.5,24393.5,1,NQU6
33,1,42004177,24397.75,24397.75,24397.75,24397.75,1,NQU6
33,1,42004177,24400.5,24400.5,24400.5,24400.5,1,NQU6
33,1,42004177,24393.75,24393.75,24393.75,24393.75,1,NQU6
33,1,42004177,24401.25,24401.25,24401.25,24401.25,1,NQU6
33,1,42004177,24373.75,24373.75,24373.5,24373.5,2,NQU6
33,1,42004177,24363.5,24363.5,24363.5,24363.5,1,NQU6
33,1,42004177,24348.25,24348.25,24348.25,24348.25,1,NQU6
33,1,42004177,24341.25,24341.25,24341.25,24341.25,1,NQU6
33,1,42004177,24328.0,24328.0,24328.0,24328.0,3,NQU6
33,1,42004177,24325.5,24331.5,24325.5,24331.5,3,NQU6
33,1,42004177,24336.0,24337.5,24336.0,24337.5,2,NQU6
33,1,42004177,24324.75,24324.75,24324.75,24324.75,1,NQU6
33,1,42004177,24334.25,24418.75,24321.25,24418.75,8,NQU6
33,1,42004177,24408.25,24430.0,24364.5,24364.5,4,NQU6
33,1,42004177,24365.0,24365.0,24339.25,24339.25,2,NQU6
33,1,42004177,24329.25,24329.25,24329.25,24329.25,1,NQU6
33,1,42004177,24321.75,24321.75,24321.75,24321.75,1,NQU6
33,1,42004177,24298.0,24298.0,24298.0,24298.0,1,NQU6
33,1,42004177,24292.25,24292.25,24292.25,24292.25,2,NQU6
33,1,42004177,24283.75,24283.75,24283.75,24283.75,1,NQU6
33,1,42004177,24278.0,24278.0,24278.0,24278.0,1,NQU6
33,1,42004177,24260.25,24260.25,24260.25,24260.25,1,NQU6
33,1,42004177,24282.25,24282.25,24282.25,24282.25,1,NQU6
33,1,42004177,24269.75,24269.75,24269.75,24269.75,1,NQU6
