ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-04-01 00:00:00+00:00,34,1,42004177,24235.0,24239.0,24215.0,24232.0,23,NQU6
2026-04-01 01:00:00+00:00,34,1,42004177,24191.0,24191.0,24191.0,24191.0,1,NQU6
2026-04-01 02:00:00+00:00,34,1,42004177,24199.5,24199.5,24178.0,24178.0,7,NQU6
2026-04-01 03:00:00+00:00,34,1,42004177,24185.5,24185.5,24180.5,24181.25,3,NQU6
2026-04-01 04:00:00+00:00,34,1,42004177,24196.0,24228.5,24189.25,24228.5,4,NQU6
2026-04-01 05:00:00+00:00,34,1,42004177,24223.5,24269.5,24223.5,24253.5,7,NQU6
2026-04-01 06:00:00+00:00,34,1,42004177,24261.0,24385.0,24258.0,24380.0,24,NQU6
2026-04-01 07:00:00+00:00,34,1,42004177,24360.25,24385.5,24293.5,24293.5,4,NQU6
2026-04-01 08:00:00+00:00,34,1,42004177,24280.25,24291.75,24244.75,24279.5,34,NQU6
2026-04-01 09:00:00+00:00,34,1,42004177,24281.75,24291.5,24230.5,24288.0,12,NQU6
2026-04-01 10:00:00+00:00,34,1,42004177,24279.75,24338.25,24265.25,24336.0,38,NQU6
2026-04-01 11:00:00+00:00,34,1,42004177,24341.75,24397.75,24341.75,24397.75,31,NQU6
2026-04-01 12:00:00+00:00,34,1,42004177,24400.5,24430.0,24260.25,24267.0,42,NQU6
2026-04-01 13:00:00+00:00,34,1,42004177,24270.25,24395.25,24254.25,24332.25,166,NQU6
2026-04-01 14:00:00+00:00,34,1,42004177,24343.75,24479.75,24339.0,24475.0,218,NQU6
2026-04-01 15:00:00+00:00,34,1,42004177,24467.75,24515.75,24450.25,24515.75,134,NQU6
2026-04-01 16:00:00+00:00,34,1,42004177,24526.0,24546.0,24509.0,24540.25,131,NQU6
2026-04-01 17:00:00+00:00,34,1,42004177,24550.0,24563.75,24484.25,24485.25,60,NQU6
2026-04-01 18:00:00+00:00,34,1,42004177,24474.75,24474.75,24341.5,24371.75,100,NQU6
2026-04-01 19:00:00+00:00,34,1,42004177,24394.0,24454.25,24394.0,24399.75,71,NQU6
2026-04-01 20:00:00+00:00,34,1,42004177,24418.5,24421.25,24398.0,24414.75,7,NQU6
2026-04-01 22:00:00+00:00,34,1,42004177,24391.25,24391.25,24390.5,24390.5,3,NQU6
2026-04-02 00:00:00+00:00,34,1,42004177,24435.75,24446.0,24435.75,24446.0,2,NQU6
2026-04-02 01:00:00+00:00,34,1,42004177,24358.0,24431.75,24128.75,24162.0,47,NQU6
2026-04-02 02:00:00+00:00,34,1,42004177,24151.5,24165.25,24078.75,24079.5,7,NQU6
2026-04-02 03:00:00+00:00,34,1,42004177,24076.0,24079.0,24036.0,24036.0,8,NQU6
2026-04-02 04:00:00+00:00,34,1,42004177,24025.25,24029.0,24014.5,24014.5,8,NQU6
2026-04-02 05:00:00+00:00,34,1,42004177,24009.75,24031.0,23973.75,23974.5,15,NQU6
2026-04-02 06:00:00+00:00,34,1,42004177,23999.0,24034.0,23971.25,24034.0,42,NQU6
2026-04-02 07:00:00+00:00,34,1,42004177,24032.75,24080.0,24032.75,24080.0,11,NQU6
2026-04-02 08:00:00+00:00,34,1,42004177,24088.0,24088.0,24040.5,24058.0,6,NQU6
2026-04-02 09:00:00+00:00,34,1,42004177,24043.75,24072.5,24041.25,24045.5,10,NQU6
2026-04-02 10:00:00+00:00,34,1,42004177,24016.25,24023.0,23989.75,24023.0,13,NQU6
2026-04-02 11:00:00+00:00,34,1,42004177,23984.25,23984.25,23914.25,23938.75,45,NQU6
2026-04-02 12:00:00+00:00,34,1,42004177,23898.75,23961.0,23887.0,23941.75,37,NQU6
2026-04-02 13:00:00+00:00,34,1,42004177,23940.75,24110.5,23895.25,24108.5,148,NQU6
2026-04-02 14:00:00+00:00,34,1,42004177,24109.5,24476.25,24089.5,24392.5,498,NQU6
2026-04-02 15:00:00+00:00,34,1,42004177,24367.25,24425.75,24311.75,24311.75,58,NQU6
2026-04-02 16:00:00+00:00,34,1,42004177,24346.75,24379.25,24274.0,24360.0,98,NQU6
2026-04-02 17:00:00+00:00,34,1,42004177,24321.25,24395.0,24289.75,24308.75,36,NQU6
2026-04-02 18:00:00+00:00,34,1,42004177,24311.75,24372.0,24311.75,24372.0,18,NQU6
2026-04-02 19:00:00+00:00,34,1,42004177,24367.0,24440.25,24367.0,24440.25,23,NQU6
2026-04-02 20:00:00+00:00,34,1,42004177,24429.75,24442.5,24429.75,24442.25,4,NQU6
